AssetID;Action_Actual;Action_From;Action_To;Trigger_Date;Trigger_MSGNo;Trigger_Text;Trigger_Count;AWS;BWS;AVSS;CalcDate
65316;34;11.03.2015 03:07;11.03.2015 03:08;10.03.2015 21:14;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 03:08;11.03.2015 03:10;10.03.2015 21:14;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 03:10;11.03.2015 03:12;10.03.2015 21:14;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 03:12;11.03.2015 03:12;10.03.2015 21:14;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 03:12;11.03.2015 03:53;10.03.2015 21:14;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 03:53;11.03.2015 03:53;10.03.2015 21:14;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 03:53;11.03.2015 03:53;10.03.2015 21:14;1254;Cold start CPU;0;0;6;0;29.10.2018 12:25
65316;34;11.03.2015 03:53;11.03.2015 04:05;10.03.2015 21:14;1254;Cold start CPU;0;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 04:05;2015-03-11 04:06:01.030;10.03.2015 21:14;1254;Cold start CPU;0;0;4;0;29.10.2018 12:25
65316;4;2015-03-11 04:06:01.030;11.03.2015 04:08;2015-03-11 04:06:01.030;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;11.03.2015 04:08;11.03.2015 04:14;11.03.2015 04:08;1090;Malfunction of engine cooling water pump;1;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:14;11.03.2015 04:14;11.03.2015 04:08;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:14;11.03.2015 04:14;11.03.2015 04:08;1090;Malfunction of engine cooling water pump;0;0;2;0;29.10.2018 12:25
65316;34;11.03.2015 04:14;11.03.2015 04:14;11.03.2015 04:08;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:14;11.03.2015 04:15;11.03.2015 04:14;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;11.03.2015 04:15;11.03.2015 04:15;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;1;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:15;11.03.2015 04:15;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:15;2015-03-11 04:15:36.063;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;0;0;2;0;29.10.2018 12:25
65316;34;2015-03-11 04:15:36.063;11.03.2015 04:15;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;4;11.03.2015 04:15;11.03.2015 04:15;11.03.2015 04:15;0;NULL;0;0;4;0;29.10.2018 12:25
65316;32;11.03.2015 04:15;11.03.2015 04:16;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;1;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:16;11.03.2015 04:16;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;0;0;4;0;29.10.2018 12:25
65316;34;11.03.2015 04:16;11.03.2015 04:17;11.03.2015 04:15;1090;Malfunction of engine cooling water pump;0;0;2;0;29.10.2018 12:25
